id,URL,headline,author,date
1,https://www.theverge.com/23660809/wordle-new-york-times-interview-zoe-bell-gdc-2023,How Wordle lives on at The New York Times,Shannon Liao,2023-03-29
2,https://www.theverge.com/23658631/kitchen-cooking-coffee-gadgets-favorite-tech,The Verge’s 13 favorite kitchen tools,Verge Staff,2023-03-29
3,https://www.theverge.com/2023/3/29/23661826/disney-fired-isaac-perlmutter-marvel,Disney just laid off the guy it bought Marvel from... but that’s probably a good thing,Emma Roth,2023-03-29
4,https://www.theverge.com/2023/3/29/23637956/apple-wwdc-2023-event-date-vr-headset-mac-pro,Apple’s WWDC 2023 kicks off on June 5th,Mitchell Clark,2023-03-29
5,https://www.theverge.com/2023/3/29/23661484/lamborghini-revuelto-plug-in-hybrid-aventador,Lamborghini’s first plug-in hypercar is the Aventador-replacing Revuelto,Andrew J. Hawkins,2023-03-29
6,https://www.theverge.com/2023/3/29/23661352/last-of-us-part-i-pc-launch-bugs-issues,The Last of Us on PC is a rare disappointing PlayStation port at launch,Tom Warren,2023-03-29
7,https://www.theverge.com/2023/3/30/23660187/marshall-zound-merger-acquisition-bluetooth-headphones-speakers-amps,"Marshall, the iconic amp manufacturer, is being acquired by Marshall speaker maker Zound",Jon Porter,2023-03-30
8,https://www.theverge.com/2023/3/30/23656153/elon-musk-twitter-most-followed-barack-obama,Elon Musk is now the most-followed person on Twitter,Emma Roth,2023-03-30
9,https://www.theverge.com/2023/3/29/23662621/google-bard-chatgpt-sharegpt-training-denies,Google denies Bard was trained with ChatGPT data,Sean Hollister,2023-03-30
10,https://www.theverge.com/2023/3/29/23662548/netflix-iphone-controller-games-code-test,Netflix might let you use an iPhone to control games on your TV,Jay Peters,2023-03-30
11,https://www.theverge.com/2023/3/29/23662476/microsoft-bing-chatbot-ads-revenue-sharing,Microsoft’s Bing chatbot is getting ads,Jay Peters,2023-03-30
12,https://www.theverge.com/23660625/gmail-inbox-unsubscribe-refresh-delete-reject,We need Eternal Sunshine of the Spotless Mind for Gmail,Allison Johnson,2023-03-29
13,https://www.theverge.com/2023/3/29/23662293/fortnite-battle-royale-player-count-discover,Fortnite now shows how many people are playing Battle Royale — and every other island,Jay Peters,2023-03-29
14,https://www.theverge.com/2023/3/29/23662326/google-fi-iphone-5g-available-ios-16-4,iPhone users on Google Fi can finally use 5G,Mitchell Clark,2023-03-29
15,https://www.theverge.com/2023/3/29/23662367/tiktok-ban-rand-paul-josh-hawley-bytedance-bowman-restrict-act,Sen. Rand Paul becomes latest lawmaker opposing TikTok ban,Makena Kelly,2023-03-29
16,https://www.theverge.com/2023/3/29/23662175/instagram-collaborative-collections-shared-with-friends,Instagram now lets you save posts into collections shared with friends,Emma Roth,2023-03-29
17,https://www.theverge.com/2023/3/29/23662082/microsoft-surface-hub-2s-update-windows-teams-rooms,Microsoft’s Surface Hub 2S is finally getting an upgrade,Jess Weatherbed,2023-03-29
18,https://www.theverge.com/2023/3/29/23662228/ea-layoffs-workers-employeesrestructuring,EA is laying off 6 percent of its workers,Emma Roth,2023-03-29
19,https://www.theverge.com/23660204/nintendo-switch-oled-zelda-tears-of-the-kingdom-edition-preorder-release-date-price,Here’s where you can preorder Nintendo’s Zelda-inspired Switch OLED,Sheena Vasani,2023-03-29
20,https://www.theverge.com/23662075/adult-swim-new-time-michael-ouweleen-warner-bros-discovery,Adult Swim’s starting an hour earlier as Warner Bros. Discovery makes a play for older viewers,Charles Pulliam-Moore,2023-03-29
21,https://www.theverge.com/2023/3/29/23661878/seattle-gig-workers-paid-sick-time-uber-eats-doordash,Seattle’s new law gives gig workers paid sick time off,Mitchell Clark,2023-03-29
22,https://www.theverge.com/2023/3/29/23662011/yes-network-direct-subscription-yankees-games-cable,YES Network’s new subscription will let you watch Yankees games without cable,Jay Peters,2023-03-29
23,https://www.theverge.com/2023/3/29/23661917/logitech-zone-learn-school-children-headset-kids-usb,"Finally, a Logitech name-brand headset for little school kids",Sean Hollister,2023-03-29
24,https://www.theverge.com/2023/3/29/23661684/master-detective-archives-rain-code-nintendo-switch-kazutaka-kodaka-interview,Danganronpa’s creator wants to make detective games more approachable,Andrew Webster,2023-03-29
